Months,Dep_value_pct
1,60.00
2,59.40
3,58.81
4,58.22
5,57.64
6,57.06
7,55.92
8,54.80
9,53.70
10,52.63
11,51.58
12,50.55
13,49.53
14,48.54
15,47.57
16,46.62
17,45.69
18,44.78
19,43.66
20,42.56
21,41.50
22,40.46
23,39.45
24,38.47
25,37.70
26,36.94
27,36.20
28,35.48
29,34.77
30,34.07
31,33.39
32,32.72
33,32.23
34,31.75
35,31.27
36,30.81
37,30.34
38,29.89
39,29.44
40,29.00
41,28.56
42,28.13
43,28.13
44,28.13
45,28.13
46,28.13
47,28.13
48,28.13
49,27.85
50,27.85
51,27.85
52,27.85
53,27.85
54,27.85
55,27.57
56,27.57
57,27.57
58,27.57
59,27.57
60,27.57
